name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Curry, Xzavion",675540,2023,404,305,0.267,0.274,-0.007,0.436,0.464,-0.028,0.326,0.339,-0.013,4.07,4.93,-0.856
"Ortiz, Luis L.",682847,2023,400,291,0.288,0.302,-0.014,0.448,0.529,-0.081,0.356,0.39,-0.034,4.78,6.86,-2.083
"Musgrove, Joe",605397,2023,399,272,0.247,0.225,0.022,0.375,0.342,0.033,0.295,0.274,0.021,3.05,3.11,-0.059
"Sánchez, Cristopher",650911,2023,396,281,0.235,0.247,-0.012,0.421,0.409,0.012,0.296,0.299,-0.003,3.44,3.74,-0.297
"Ragans, Cole",666142,2023,392,236,0.202,0.212,-0.01,0.303,0.331,-0.028,0.266,0.283,-0.017,3.47,3.33,0.139
"Syndergaard, Noah",592789,2023,391,306,0.291,0.302,-0.011,0.539,0.537,0.002,0.371,0.381,-0.01,6.5,6.48,0.016
"Toussaint, Touki",657053,2023,384,235,0.223,0.251,-0.028,0.355,0.409,-0.054,0.317,0.352,-0.035,4.97,5.37,-0.404
"Lively, Ben",594902,2023,383,276,0.27,0.269,0.001,0.49,0.474,0.016,0.348,0.342,0.006,5.38,5.03,0.35
"Stripling, Ross",548389,2023,381,293,0.287,0.291,-0.004,0.497,0.507,-0.01,0.348,0.358,-0.01,5.36,5.59,-0.23
"Bird, Jake",656234,2023,381,270,0.276,0.262,0.014,0.396,0.401,-0.005,0.32,0.325,-0.005,4.33,4.48,-0.148
"Henry, Tommy",674072,2023,381,278,0.251,0.248,0.003,0.418,0.406,0.012,0.324,0.319,0.005,4.15,4.3,-0.154
"Littell, Zack",641793,2023,379,289,0.261,0.272,-0.011,0.431,0.437,-0.006,0.308,0.317,-0.009,4.1,4.24,-0.14
"Wesneski, Hayden",669713,2023,379,260,0.242,0.266,-0.024,0.46,0.475,-0.015,0.33,0.348,-0.018,4.63,5.23,-0.596
"Scholtens, Jesse",669947,2023,377,287,0.292,0.273,0.019,0.458,0.452,0.006,0.349,0.339,0.01,5.29,4.93,0.364
